Journal_Key,Journal_TEXT
100,우주선이 고장나고 나는 끝없는 우주에 홀로 남겨졌습니다. 
101,운석이 내 발판을 파괴하기 시작했습니다.
102,기본적인 소재를 통해 내 발판을 넓힐 수 있었습니다.
103,쓰레기를 모아서 여러 가지 물자를 공급할 수 있어요. 물탱크와 산소탱크를 만드는 건 불가능할까요?
104,"나는 ""감자""로 자랄 수 있을 것 같아. 감자를 even하게 익혀먹고싶어"
105,"운석에 따라 내 영역을 결정할 수 있는 도구가 필요한데, 모험을 통해서는 찾을 수 없나요?"
106,재료가 남았다면 집을 장식할 수 있는 뭔가를 만들고 싶어요.
107,SOS는 계속 전송되고 있지만 아직 응답이 없네요. 우주에서 살 수 있는 산소를 공급할 수 있다니 얼마나 안도스러운지요.
110,"우주에서 15일간 고립된 후, 구출에 대한 희망과 작은 성취가 내 마음을 살아있게 하는 데 도움이 됩니다. 녹음, 명상 등을 통해."
115,"저는 외로움과 깊은 불안감을 느끼지만, 구원받을 수 있다는 희망을 잃지 않고 제가 하는 일을 하면서 극복해 나가고 있습니다."
130,"너무 답답해요. 지구가 괜찮은지, 내가 왜 사는지 모르겠어요."
200,범인은.. 변진룡..
1,"미지의 공간에 도착하게 되었지만, 외부와의 통신은 완전히 차단되었습니다."
2,"이 던전을 탐험하면서 몇 가지 아이템을 얻을 수 있었습니다. 복잡한 미로 형태였고, 탈출할 수 있는 포털이 있었습니다."
3,이 던전 ​​미로는 내가 들어갈 때마다 길이 바뀌는 것 같아. 길을 표시하는 건 쓸모없는 것 같아...
4,"던전을 여러 번 탐험하던 중, 거미가 추적한 것으로 어디에 있는지 알 수 없는 아이템을 몇 개 발견했습니다."
otherServiver1,"1943일, 우주에서 감자가 자란다고? 정말 맛있다!"
otherServiver2,"1835일, 우리 집 앞에 있는 피자집과 똑같은 ""너무 맛있는 피자""를 발견했어! 완전 럭키비키니시티잖아"
otherServiver3,"562일째, 운석이 내 발판을 계속해서 파괴하고 있어. 난 죽고말거야"
otherServiver4,"2310일, 지구 환경과 비슷한 행성을 찾았습니다. 난 원한다 더 많은 정보를"
otherServiver5,"392일째, 거위처럼 생긴 뭔가를 발견했습니다. 너무 귀엽다."
otherServiver6,"611일, 너무 추워요. 너무 배고파요. 너무 졸려요."
